Resource,biomass,conventional_hydroelectric,conventional_steam_coal,conventional_steam_coal_1,conventional_steam_coal_2,conventional_steam_coal_3,natural_gas_fired_combined_cycle,natural_gas_fired_combined_cycle_1,natural_gas_fired_combined_cycle_2,natural_gas_fired_combined_cycle_3,natural_gas_fired_combined_cycle_4,natural_gas_fired_combined_cycle_5,natural_gas_fired_combined_cycle_6,natural_gas_fired_combined_cycle_7,natural_gas_fired_combined_cycle_8,natural_gas_fired_combined_cycle_9,natural_gas_fired_combined_cycle_10,natural_gas_fired_combined_cycle_11,natural_gas_fired_combined_cycle_12,natural_gas_fired_combined_cycle_13,natural_gas_fired_combined_cycle_14,natural_gas_fired_combustion_turbine,natural_gas_fired_combustion_turbine_1,natural_gas_fired_combustion_turbine_2,natural_gas_fired_combustion_turbine_3,natural_gas_fired_combustion_turbine_4,natural_gas_fired_combustion_turbine_5,natural_gas_fired_combustion_turbine_6,natural_gas_fired_combustion_turbine_7,natural_gas_fired_combustion_turbine_8,natural_gas_fired_combustion_turbine_9,natural_gas_fired_combustion_turbine_10,natural_gas_fired_combustion_turbine_11,natural_gas_fired_combustion_turbine_12,natural_gas_fired_combustion_turbine_13,natural_gas_fired_combustion_turbine_14,natural_gas_fired_combustion_turbine_15,natural_gas_steam_turbine,natural_gas_steam_turbine_1,natural_gas_steam_turbine_2,natural_gas_steam_turbine_3,natural_gas_steam_turbine_4,natural_gas_steam_turbine_5,natural_gas_steam_turbine_6,natural_gas_steam_turbine_7,natural_gas_steam_turbine_8,natural_gas_steam_turbine_9,natural_gas_steam_turbine_10,natural_gas_steam_turbine_11,natural_gas_steam_turbine_12,natural_gas_steam_turbine_13,natural_gas_steam_turbine_14,natural_gas_steam_turbine_15,natural_gas_steam_turbine_16,natural_gas_steam_turbine_17,nuclear,nuclear_1,onshore_wind_turbine,small_hydroelectric,solar_photovoltaic,Battery
t649,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t650,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t651,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t652,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t653,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t654,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t655,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t656,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t657,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t658,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t659,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t660,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t661,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.0,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,0.0,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t662,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,0.001358611118272496,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,14.598539892280453,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t663,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,14.598539892280453,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t664,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,14.598539892280453,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t665,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,14.598539892280453,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t666,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t667,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t668,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t669,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t670,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t671,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t672,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t673,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t674,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t675,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t676,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t677,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t678,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t679,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t680,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t681,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t682,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t683,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
t684,44.25914047466325,0.0,10.0,0.0,8.999998579321456,1.175791675683474,2.9996192790914997,4.0,6.999995478039097,3.001202894994106,3.0004304594835336,10.0,3.9993104637131527,4.0,10.953525020021184,1.999248402856069,1.9999999999999998,1.0,3.0,10.999998529608536,0.9999999999999999,0.0,18.713919458639275,0.0,4.0,3.013245033112583,0.0,9.012678853302104,11.999913824676304,4.297477682326474,0.0,2.0,0.0,11.000060329398515,0.0,5.995698737861968,1.0,2.0,2.998854564187575,0.0,4.0,1.0,2.0,6.0,2.9999976284603727,5.999985782024213,0.5632107023411371,2.9999879032745835,0.9999999999999999,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
